iter	Passed	Remaining
0	235	235351
1	339	169543
2	367	122119
3	481	119772
4	579	115309
5	682	113035
6	766	108712
7	882	109418
8	1022	112640
9	1081	107036
10	1196	107581
11	1293	106486
12	1386	105259
13	1482	104427
14	1563	102639
15	1604	98668
16	1712	99011
17	1806	98550
18	1919	99093
19	2018	98886
20	2129	99261
21	2232	99243
22	2325	98782
23	2419	98400
24	2507	97780
25	2599	97394
26	2708	97606
27	2794	96998
28	2903	97228
29	2996	96896
30	3181	99456
31	3316	100332
32	3424	100344
33	3569	101416
34	3680	101474
35	3790	101492
36	3897	101449
37	3989	100997
38	4071	100337
39	4180	100332
40	4270	99886
41	4350	99238
42	4456	99179
43	4555	98972
44	4654	98781
45	4741	98331
46	4823	97807
47	4910	97391
48	4990	96861
49	5112	97138
50	5267	98009
51	5365	97819
52	5453	97435
53	5544	97139
54	5635	96832
55	5735	96690
56	5832	96496
57	5933	96370
58	6036	96279
59	6120	95886
60	6213	95648
61	6305	95403
62	6393	95097
63	6495	95003
64	6585	94731
65	6673	94437
66	6753	94044
67	6847	93851
68	6980	94192
69	7067	93892
70	7186	94037
71	7287	93923
72	7384	93776
73	7488	93709
74	7639	94226
75	7770	94471
76	7781	93276
77	7894	93313
78	8051	93863
79	8162	93873
80	8287	94021
81	8385	93873
82	8511	94036
83	8620	94003
84	8739	94073
85	8839	93946
86	8942	93840
87	9045	93740
88	9148	93643
89	9243	93465
90	9288	92785
91	9406	92834
92	9523	92884
93	9629	92808
94	9739	92779
95	9874	92987
96	9971	92825
97	10084	92820
98	10187	92713
99	10292	92630
100	10414	92703
101	10569	93055
102	10610	92406
103	10731	92457
104	10866	92619
105	10980	92612
106	11096	92612
107	11200	92511
108	11336	92667
109	11426	92450
110	11534	92381
111	11643	92312
112	11757	92292
113	11851	92107
114	11944	91921
115	12037	91737
