iter	Logloss
0	0.6929988091
1	0.6929309147
2	0.6929278168
3	0.6928542875
4	0.6927100413
5	0.6926269825
6	0.6925830064
7	0.6924718149
8	0.6923411406
9	0.6923175628
10	0.6922040515
11	0.6921437873
12	0.6920457426
13	0.6919655304
14	0.6919092048
15	0.6919059511
16	0.6918412742
17	0.6917969334
18	0.6916307087
19	0.6915685622
20	0.6915323533
21	0.6914463701
22	0.6913735739
23	0.6913223557
24	0.6912300667
25	0.6911839902
26	0.6911467077
27	0.6911043282
28	0.691064566
29	0.6910239693
30	0.6909644389
31	0.6909118585
32	0.6908609321
33	0.6907657153
34	0.6907095843
35	0.6906525364
36	0.6906124518
37	0.6905778656
38	0.6904941325
39	0.6904237471
40	0.6903520438
41	0.690289959
42	0.6902343756
43	0.690175137
44	0.6901379881
45	0.6900551248
46	0.6899380771
47	0.6898507458
48	0.68977028
49	0.6897307282
50	0.6896955148
51	0.6896546022
52	0.6895776956
53	0.6895539073
54	0.6894464196
55	0.6894111829
56	0.6893213428
57	0.6892207968
58	0.6891455346
59	0.6890539168
60	0.6889712037
61	0.6889491508
62	0.6888859925
63	0.688832519
64	0.6887543038
65	0.6886466703
66	0.6886170873
67	0.688545791
68	0.6884465421
69	0.688358267
70	0.6882951547
71	0.6882262082
72	0.688155561
73	0.6880978268
74	0.6880590197
75	0.6879968428
76	0.6879968428
77	0.6879419941
78	0.6878446199
79	0.687804956
80	0.6877313585
81	0.687716082
82	0.687648355
83	0.6876010818
84	0.6875608661
85	0.6875294091
86	0.68742334
87	0.6872852808
88	0.6872011429
89	0.6871774145
90	0.6871774142
91	0.6871456203
92	0.6870844085
93	0.6870323965
94	0.6869940801
95	0.6869253442
96	0.6868687729
97	0.6868340485
98	0.6867338938
99	0.6866645639
100	0.6865576448
101	0.6865148734
102	0.6865146356
103	0.6864468697
104	0.6863689444
105	0.6862688929
106	0.6862333717
107	0.6862135189
108	0.686187227
109	0.6860563789
110	0.6859155708
111	0.6858881899
112	0.6858303708
113	0.6857806354
114	0.685698357
115	0.6856681419
