iter	Passed	Remaining
0	106	106253
1	199	99742
2	229	76214
3	326	81341
4	449	89390
5	578	95913
6	665	94436
7	778	96482
8	877	96584
9	953	94433
10	1123	101047
11	1231	101378
12	1339	101707
13	1462	103001
14	1565	102776
15	1614	99319
16	1712	99026
17	1813	98921
18	1926	99460
19	2039	99958
20	2169	101162
21	2272	101038
22	2372	100768
23	2472	100535
24	2577	100517
25	2674	100203
26	2781	100220
27	2871	99688
28	2967	99355
29	3061	98988
30	3165	98931
31	3274	99067
32	3361	98499
33	3480	98880
34	3576	98615
35	3666	98181
36	3765	98007
37	3847	97409
38	3926	96740
39	4033	96802
40	4115	96255
41	4193	95653
42	4284	95364
43	4373	95033
44	4461	94676
45	4547	94318
46	4630	93881
47	4717	93554
48	4793	93038
49	4895	93013
50	4990	92860
51	5087	92757
52	5170	92380
53	5270	92322
54	5352	91959
55	5447	91830
56	5549	91803
57	5642	91637
58	5738	91528
59	5841	91510
60	5936	91389
61	6038	91354
62	6130	91180
63	6231	91128
64	6322	90944
65	6403	90621
66	6486	90326
67	6580	90190
68	6678	90109
69	6775	90014
70	6871	89909
71	6966	89785
72	7077	89872
73	7194	90034
74	7293	89952
75	7416	90166
76	7427	89027
77	7528	88985
78	7646	89146
79	7740	89013
80	7875	89350
81	7974	89271
82	8082	89295
83	8185	89265
84	8319	89562
85	8412	89403
86	8521	89426
87	8641	89556
88	8744	89505
89	8867	89665
90	8915	89056
91	9047	89293
92	9162	89357
93	9289	89535
94	9393	89487
95	9560	90024
96	9790	91141
97	9946	91552
98	10057	91530
99	10166	91501
100	10266	91378
101	10379	91381
102	10416	90710
103	10517	90614
104	10629	90601
105	10760	90749
106	10910	91056
107	11032	91116
108	11165	91267
109	11280	91272
110	11407	91362
111	11509	91250
112	11618	91202
113	11714	91042
114	11818	90951
115	11917	90821
