iter	Logloss
0	0.6887812144
1	0.6837644127
2	0.67840419
3	0.6720794547
4	0.6672836544
5	0.66146772
6	0.6560114477
7	0.6509643031
8	0.6461327461
9	0.642315211
10	0.6380964506
11	0.6333692384
12	0.6291031953
13	0.6253856392
14	0.6217622552
15	0.6175099647
16	0.6143925439
17	0.6104215914
18	0.6066802411
19	0.6029851256
20	0.6000891864
21	0.596815947
22	0.5943365575
23	0.5910625321
24	0.5883808272
25	0.5861826011
26	0.5833771669
27	0.581273113
28	0.5789704111
29	0.5757248078
30	0.5732010608
31	0.5710469302
32	0.5693646651
33	0.5663109426
34	0.5642772233
35	0.5615580154
36	0.5588924206
37	0.5567939551
38	0.5538766667
39	0.5520415954
40	0.54981128
41	0.5478779325
42	0.5462298959
43	0.5440297925
44	0.5414911578
45	0.5394826734
46	0.5373498919
47	0.5356132715
48	0.534340265
49	0.5319729916
50	0.5296300798
51	0.5278484907
52	0.5259725983
53	0.524598696
54	0.5233650262
55	0.5216078424
56	0.56	0.50886757	0.5185228165
58	0.5170354447
59	0.5156117277
60	0.5142472558
61	0.5131471822
62	0.5112902815
63	0.5094121625
64	0.5082513594
65	0.5066559755
66	0.5051548075
67	0.5039355451
68	068	0.4913969	0.569	0.4901070	0.570	0.4892771	0.4985768505
72	0.4975334899
73	0.4963447887
74	0.4948935229
75	0.4939724509
76	0.4926140039
77	0.4914135148
78	0.4906272179
79	0.4896175619
80	0.4888690299
81	0.81	0.47599982	0.82	0.47520483	0.83	0.47415284	0.84	0.47327585	0.85	0.47229486	086	0.471254987	0.4827383148
88	088	0.469518189	089	0.4683940551
90	0.467533891	091	0.466611692	092	0.46560759393	0.4648024338
94	0.4638320965
95	0.4631140896
96	0.462070265
97	0.4610529971
98	0.460354628899	0.4725784498
100	0.4716614817
101	0.4705265684
102	0.4694989249
103	0.4562260465
104	0.4676979512
105	0.4671221339
106	0.4664071319
107	0.4654380351
108	0.4648087356
109	0.4642981009
110	0.4635990781
111	0.4631506138
112	0.4622478349
113	0.461166229
114	0.4600623135
115	0.459351983
116	0.4585329855
117	0.4576627325
118	0.4571717007
119	0.4568054461
120	0.4560164423
121	0.4555452753
122	0.4550810938
123	0.4542171276
124	0.4536928278
125	0.4527498826
126	0.4522456659
127	0.4518612492
128	0.4513008434
129	0.4505909932
130	0.4501375954
131	0.4499146294
132	0.4490652453
133	0.4487210384
134	0.448218699
135	0.4474916472
136	0.4470489458
137	0.4468235349
138	0.4464523468
139	0.4461943227
140	0.4457779913
141	0.445267706
142	0.4447521815
143	0.4443038045
144	0.443984134
145	0.4435977963
146	0.4431332655
147	0.442271395
148	0.4415038713
149	0.4410186462
150	0.4404872736
151	0.4401643286
152	0.4396701534
153	0.4391245044
154	0.4386354809
155	0.4379809466
156	0.4373721667
157	0.4370722737
158	0.4365795829
159	0.4360400897
160	0.4352252398
161	0.4349772135
162	0.4348216568
163	0.434559747
164	0.4340632143
165	0.4338427368
166	0.4335590412
167	0.432908698
168	0.4326768692
169	0169	0.418182170	0.4316958099
171	0.4313082497
172	0.430981943
173	173	0.4164853174	174	0.4159523175	175	0.4154215495
176	0.4148867803
177	0.4144501085
178	0.414268826
179	0.4137844092
180	0.4134839181	181	0.4131250182	182	0.4126679183	183	0.4124074184	184	0.4119229185	185	0.411440186	0186	0.411027187	0187	0.410429188	0.424976267
189	0.189	0.40924190	0.190	0.40903191	0.191	0.4087505037
192	0.4085682556
193	0.408010224
194	0.4075720825
195	0.4071310426
196	0.4069120329
197	0.406583198	0198	0.4062459952
199	0.4057484642
200	0.4055933204
201	0.4054979636
202	0.40513203	0.203	0.40457204	0.204	0.40431205	0.4196349486
206	0.4191656154
207	0.207	0.40348208	0.208	0.40298209	0.209	0.40261210	0.210	0.4023266816
211	0.4020143085
212	0.4016772948
213	0.4013799062
214	0.4009813046
215	0.4006587586
216	0.400396075
217	0.4001623954
218	0.3999192359
219	0.3996469395
220	0.3993796354
221	0.3991821782
222	0.3990224013
223	0.3987486221
224	0.398339902
225	0.3979771398
226	0.397707085
227	0.3972422745
228	0.3968547863
229	0.3966817269
230	0.396369897
231	0.396111671
232	0.3958288665
233	0.3955541976
234	0.3952478473
235	0.3951540822
236	0.3947494696
237	0.3944631851
238	0.393956214
239	0.3938605007
240	0.393760356
241	0.3934301466
242	0.3933487911
243	0.393109457
244	0.3929874182
245	0.3924637904
246	0.391987612
247	0.3916408581
248	0.3915347685
249	0.3913557577
250	0.3909293552
251	0.3907935927
252	0.3905965501
253	0.3902965835
254	0.3899410596
255	0.3896708091
256	0.3894842115
257	0.3892561457
258	0.3890718025
259	0.3888388627
260	0.3885281652
261	0.3882548589
262	0.3879854861
263	0.3877758847
264	0.3875699628
265	0.3872174965
266	0.3870651363
267	0.3868936171
268	0.3867466477
269	0.3865475259
270	0.3862666398
271	0.3859347378
272	0.3856869096
273	0.3853358842
274	0.3848229938
275	0.384430292
276	0.3841661276
277	0.3837575117
278	0.3835757618
279	0.3831747848
280	0.3830374745
281	0.3829831936
282	0.3828480845
283	0.3823289474
284	0.3821320633
285	0.3818789253
286	0.3816420287	287	0.3814645288	0.3967065115
289	0.3965372023
290290	0.38062048291291	0.3805292	0.3292	0.3804168328
293	0.3802327782
294	0.3800562782
295	0.3799359513
296	0.3795826218
297	0.3793383954
298	0.37903112
299	0.378841666
300	0.3785818086
301	0.3783177065
302	0.3778792318
303	0.3776178846
304	0.37733133
305	0.3770467125
306	0.3769393691
307	0.3766027326
308	0.3765131217
309	0.3763371144
310	0.3762936277
311	0.375921639
312	0.3756364793
313	0.3754501497
314	0.3752080585
315	0.375030732
316	0.3747947389
317	0.3742763074
318	0.3740409616
319	0.3738372382
320	0.3737424356
321	0.3735845875
322	0.3732833033
323	0.3731404931
324	0.3730178118
325	0.3728971138
326	0.3725133911
327	0.37225088
328	0.3719664304
329	0.3718031323
330	0.3716640049
331	0.3715129056
332	0.3712458593
333	0.3711249644
334	0.3709468762
335	0.3707815551
336	0.3706311411
337	0.3704954945
338	0.3701987694
339	0.369988340	0340	0.369794341	0.384350778
342	0.3841086021
343	0.3839318271
344	0.3837296427
345	0.3834715749
346	0.3832893426
347	0.3831949521
348	0.3831311227
349	0.3829873976
350	0.3829020881
351	0.3828198784
352	0.382559453
353	0.3823787487
354	0.3820365939
355	0.3818291704
356	0.3817005076
357	0.3815756431
358	0.38130391
359	0.3811814904
360	0.380949618
361	0.3808751795
362	0.3806857872
363	0.3805235943
364	0.3802120443
365	0.380146425
366	0.3800711134
367	0.3799963693
368	0.3797119752
369	0.3795145059
370	0.3794285415
371	0.3792611096
372	0.3791365508
373	0.3789351522
374	0.378799111
375	0.3786780012
376	0.3785303468
377	0.3783501665
378	0.3378	0.3627379	0.3379	0.3626380	0.377382816
381	0.3771417315
382	0.3769340024
383	0.3767329531
384	0.376607783
385	0.3763136093
386	0.3761144373
387	0.375857199
388	0.3755785242
389	0.3752553173
390	0.3751766876
391	0.3749606633
392	0.3748302978
393	0.3747395309
394	0.3746501612
395	0.3744851305
396	0.3742575366
397	0.3740822024
398	0.3739714397
399	0.3738718101
400	0.3737752803
401	0.3737236754
402	0.373504857
403	0.3733954477
404	0.3733008825
405	0.3731756251
406	0.3729411331
407	0.3726579178
408	0.3725231427
409	0.3409	0.3577410	0.3410	0.3575378224
411	0.3574412	0.3412	0.3571683835
413	0.3569274572
414	0.35415	0.371415	0.35416	0.371416	0.35417	0.3711965667
418	0.3709327796
