iter	Passed	Remaining
0	247	247532
1	431	215409
2	467	155263
3	607	151157
4	755	150429
5	927	153636
6	1103	156564
7	1332	165177
8	1475	162440
9	1541	152621
10	1686	151607
11	1849	152311
12	1992	151251
13	2120	149336
14	2236	146877
15	2291	140947
16	2415	139689
17	2550	139144
18	2678	138313
19	2813	137851
20	2948	137434
21	3086	137195
22	3205	136165
23	3343	135963
24	3466	135207
25	3596	134739
26	3737	134675
27	3858	133940
28	3988	133540
29	4112	132973
30	4258	133117
31	4379	132476
32	4508	132122
33	4652	132181
34	4786	131971
35	4916	131663
36	5037	131120
37	5173	130975
38	5307	130792
39	5464	131157
40	5599	130978
41	5706	130164
42	5853	130276
43	5977	129874
44	6104	129557
45	6219	128985
46	6342	128600
47	6455	128041
48	6569	127498
49	6714	127575
50	6867	127795
51	6988	127400
52	7101	126888
53	7219	126479
54	7337	126064
55	7461	125771
56	7588	125540
57	7721	125410
58	7854	125275
59	7967	124825
60	8091	124550
61	8215	124291
62	8343	124089
63	8481	124035
64	8617	123961
65	8727	123500
66	8842	123128
67	8960	122807
68	9097	122745
69	9220	122497
70	9346	122288
71	9467	122019
72	9593	121821
73	9714	121568
74	9840	121362
75	9982	121365
76	9997	119838
77	10130	119742
78	10261	119636
79	10390	119486
80	10551	119714
81	10681	119581
82	10810	119431
83	10931	119204
84	11071	119186
85	11188	118912
86	11323	118827
87	11448	118650
88	11592	118662
89	11721	118522
90	11773	117605
91	11907	117525
92	12041	117432
93	12177	117374
94	12298	117157
95	12461	117343
96	12616	117449
97	12738	117246
98	12867	117105
99	13001	117010
100	13124	116824
101	13269	116822
102	13301	115840
103	13437	115768
104	13565	115630
105	13688	115448
106	13815	115298
107	13937	115110
108	14088	115166
109	14202	114907
110	14342	114867
111	14478	114794
112	14647	114977
113	14764	114747
114	14918	114809
115	15047	114671
